Gymnasium Johanneum Ostbevern,Stundenplan 2020/21,,,,,,,Untis 2021
Mo-3,,,KR,Hm,2.01,ER,Fm,3.05,,,,
Mo-4,,,KR,Hm,2.01,ER,Fm,3.05,,,,
Mo-5,,,,,LZ,Dr,2.01,,,,,
Mo-6,,,,,PK,Dun,2.01,,,,,
Mo-7,,,,,,,,,,,,
Mo-8,,,,,,,,,,,,
Mo-9,,,,,,,,,,,,
Di-1,,,,,E5,Dr,2.01,,,,,
Di-2,,,,,E5,Dr,2.01,,,,,
Di-3,,,,,M,Fo,2.01,,,,,
Di-4,,,,,M,Fo,2.01,,,,,
Di-5,,,,,SP,Sr,H3,,,,,
Di-6,,,,,SP,Sr,H3,,,,,
Di-7,,,,,,,,,,,,
Di-8,,,,,sozL,Hm,2.01,,,,,
Di-9,,,,,PK,Dun,2.01,,,,,
Mi-1,,,,,SP,Sr,H1,,,,,
Mi-2,,,,,SP,Sr,H1,,,,,
Mi-3,,,,,Inf,Fo,6.03,,,,,
Mi-4,,,,,M,Fo,2.01,,,,,
Mi-5,,,,,LZ,Hm,2.01,,,,,
Mi-6,Chor,Hm,Aula,LRS,Kru,1.06,kuAG,Mus,7.11,sport,Pf,H3
Mi-7,,,,,,,,,,,,
Mi-8,,,,,D,Pf,2.01,,,,,
Mi-9,,,,,E5,Dr,2.01,,,,,
Do-1,,,,,D,Pf,2.01,,,,,
Do-2,,,,,D,Pf,2.01,,,,,
Do-3,,,,,KU,Rak,7.11,,,,,
Do-4,,,,,KU,Rak,7.11,,,,,
Do-5,,,,,E5,Dr,2.01,,,,,
Do-6,,,,,E5,Dr,2.01,,,,,
Do-7,,,,,,,,,,,,
Do-8,,,,,PH,So,8.09,,,,,
Do-9,,,,,PH,So,8.09,,,,,
Fr-1,,,,,GE,Dr,2.01,,,,,
Fr-2,,,,,GE,Dr,2.01,,,,,
Fr-3,,,,,M,Fo,2.01,,,,,
Fr-4,,,,,M,Fo,2.01,,,,,
Fr-5,,,,,LZ,Na,2.01,,,,,
Fr-6,,,,,D,Pf,2.01,,,,,
Fr-7,,,,,,,,,,,,
Fr-8,,,,,,,,,,,,
Fr-9,,,,,,,,,,,,
,,,,,Stundenplan21_22neu,,,,,,,
Gymnasium Johanneum Ostbevern,Stundenplan 2020/21,,,,,,,,,,,Untis 2021
"D-48346, Loburg 15",,,,,,,,,,,,16.8.2021 14:51
,,,,,7a / Me/KlB,,,,,,,
Mo-1,,,,,D,Lü,3.01,,,,,
Mo-2,,,,,D,Lü,3.01,,,,,
Mo-3,,,,,M,Me,3.01,,,,,
Mo-4,,,,,M,Me,3.01,,,,,
Mo-5,,,,,KU,Rak,7.11,,,,,
Mo-6,,,,,LZ,Dre,3.01,,,,,
Mo-7,,,,,,,,,,,,
Mo-8,,,,,,,,,,,,
Mo-9,,,,,,,,,,,,
Di-1,,,,,PK,Sth,3.01,,,,,
Di-2,,,,,PK,Sth,3.01,,,,,
Di-3,,,,,KU,Rak,7.11,,,,,
Di-4,,,,,SP,Wan,H3,,,,,
Di-5,,,,,LZ,Rak,3.01,,,,,
Di-6,,,,,,,,,,,,
Di-7,,,,,EK,KlB,3.01,,,,,
Di-8,,,,,sozL,KlB,3.01,,,,,
Di-9,,,,,M,Me,3.01,,,,,
Mi-1,,,,,E5,Dr,3.01,,,,,
Mi-2,,,,,E5,Dr,3.01,,,,,
Mi-3,,,,,CH,Tp,8.02,,,,,
Mi-4,,,,,CH,Tp,8.02,,,,,
Mi-5,,,,,EK,KlB,3.01,,,,,
Mi-6,,,,,,,,,,,,
Mi-7,,,,,LZ,Bg,3.01,,,,,
Mi-8,L7a,KsK,3.05,L7b,Bm,3.24,F7a,Lac,3.06,F7b,Vs,3.01
Mi-9,,,,,D,Lü,3.01,,,,,
Do-1,L7a,KsK,3.01,L7b,Bm,3.24,F7a,Lac,3.06,F7b,Vs,1.02
